ПриватБанк;28.900;29.700
Райффайзен Банк Аваль;28.700;29.400
Альфа-Банк;28.950;29.600
Укрсоцбанк;28.950;29.600
OTP Bank;28.950;29.450
Банк Пивденный;28.800;29.400
ПроКредит Банк;28.800;29.500
Кредобанк;28.700;29.500
Таскомбанк;29.000;29.350
Аккордбанк;28.960;29.290
БМ Банк;28.600;29.250
Полтава-Банк;28.550;29.050
Укргазбанк;29.000;29.500
Новый;28.500;29.500
Кристалбанк;28.100;29.230
Кредитвест Банк;28.800;29.200
Грант;28.200;29.250
Коминвестбанк;28.800;29.050
Регион-банк;28.200;29.250
Проминвестбанк;28.850;29.300
Банк Альянс;29.050;29.500
ВиЭс Банк;28.820;29.260
Сич;28.700;29.300
Аркада;28.500;29.200
Вернум Банк;28.800;29.500
Универсал Банк;28.800;29.400
Мисто Банк;28.500;29.500
Банк Богуслав;28.750;29.240
Кредит Оптима Банк;28.800;29.800
Поликомбанк;28.900;29.250
УкрСиббанк;28.750;29.500
А-Банк;28.700;29.400
Банк Финансовый Партнёр;28.600;29.300
Юнекс Банк;28.730;29.110
Земельный Капитал;28.400;29.100
Marfin Bank;28.800;29.300
Европромбанк;28.300;29.230
Апекс-банк;28.200;29.400
БТА Банк;28.900;29.450
Укрэксимбанк;28.550;29.800
Альпари Банк;28.800;29.800
ВТБ Банк;28.780;29.730
Кредит Днепр;28.600;29.200
Ощадбанк;28.250;29.300
Диви Банк;29.000;29.500
МетаБанк;28.850;29.280
Банк Портал;28.600;29.500
ПФБ;28.200;29.300
Экспресс-Банк;28.720;29.320
Банк 3/4;28.500;29.200
Банк Инвестиций и Сбережений;29.110;29.190
Банк Фамильный;27.950;29.450
Клиринговый Дом;29.000;29.500
Мотор-банк;28.800;29.300
РВС Банк;28.600;29.150
Сбербанк;28.900;29.900
ОКСИ Банк;28.700;29.300
Банк Форвард (Forward Bank);28.820;29.280
Центр;28.600;29.350
Первый Инвестиционный банк;28.800;29.400
Индустриалбанк;28.850;29.400
Пиреус Банк;29.010;29.350
ПУМБ;28.800;29.400
Радабанк;28.750;29.250
Конкорд;28.600;29.400
Траст-капитал;28.700;29.200
Кредит Европа Банк;28.400;29.300
Коммерческий Индустриальный Банк;28.550;29.250
Глобус;28.850;29.200
Агропросперис Банк (Астра Банк);28.600;29.050
Укрстройинвестбанк;28.700;29.200
Международный Инвестиционный Банк;28.700;29.100
Правэкс-банк;28.700;29.200
Идея Банк;28.500;29.200
Львов;28.800;29.350
Креди Агриколь Банк;29.000;29.500
Айбокс Банк (АгроКомБанк);28.800;29.500
Банк Восток;28.800;29.150
Асвио банк;28.300;29.300
