ПриватБанк;32.000;36.000
Райффайзен Банк Аваль;33.600;34.000
Укрсоцбанк;33.400;34.800
Банк Пивденный;33.000;34.500
Кредобанк;32.700;34.400
Таскомбанк;33.000;34.200
Мисто Банк;32.500;34.500
Укрэксимбанк;33.360;34.780
Укргазбанк;32.000;34.300
Экспресс-Банк;31.200;34.100
ПФБ;33.300;34.500
Правэкс-банк;32.000;34.250
Marfin Bank;32.000;36.000
Аркада;32.000;34.000
Креди Агриколь Банк;32.000;34.000
Банк 3/4;33.400;34.500
Первый Инвестиционный банк;32.000;34.000
Юнекс Банк;33.100;34.100
Диви Банк;33.500;34.500
Универсал Банк;33.300;34.500
ВТБ Банк;32.540;34.610
Центр;32.800;34.000
Кредит Днепр;32.300;34.300
Идея Банк;30.000;34.000
Регион-банк;31.700;33.900
БТА Банк;33.300;34.450
ВиЭс Банк;32.350;34.040
ОКСИ Банк;32.000;34.200
Мотор-банк;33.200;34.200
Банк Богуслав;33.200;34.100
Вернум Банк;33.500;34.500
Апекс-банк;30.000;35.000
Львов;32.500;33.950
ПУМБ;32.500;34.500
Сбербанк;33.570;34.970
Клиринговый Дом;33.600;34.500
Индустриалбанк;32.000;34.400
Международный Инвестиционный Банк;33.400;34.100
Глобус;33.600;34.000
УкрСиббанк;33.150;34.700
Банк Альянс;33.400;34.400
