ПриватБанк;0.440;0.480
Райффайзен Банк Аваль;0.460;0.470
Альфа-Банк;0.450;0.480
Укрсоцбанк;0.450;0.480
Банк Пивденный;0.420;0.460
Кредобанк;0.375;0.480
Таскомбанк;0.450;0.470
Аккордбанк;0.426;0.469
Айбокс Банк (АгроКомБанк);0.440;0.470
Укргазбанк;0.300;0.475
Индустриалбанк;0.400;0.470
Укрстройинвестбанк;0.440;0.470
Банк Богуслав;0.440;0.470
БТА Банк;0.439;0.479
ПУМБ;0.440;0.470
Радабанк;0.450;0.465
Банк Альянс;0.430;0.480
А-Банк;0.456;0.473
УкрСиббанк;0.454;0.470
Европромбанк;0.440;0.490
Правэкс-банк;0.420;0.475
Клиринговый Дом;0.440;0.480
Юнекс Банк;0.436;0.466
Кредит Днепр;0.450;0.480
Поликомбанк;0.450;0.468
Новый;0.440;0.480
Центр;0.445;0.468
Укрэксимбанк;0.449;0.475
Львов;0.430;0.469
Креди Агриколь Банк;0.455;0.475
Глобус;0.440;0.470
БМ Банк;0.432;0.468
Альпари Банк;0.430;0.480
Банк Портал;0.440;0.475
РВС Банк;0.425;0.470
Грант;0.430;0.470
Апекс-банк;0.430;0.470
Идея Банк;0.370;0.470
ОКСИ Банк;0.430;0.465
Экспресс-Банк;0.306;0.461
Мотор-банк;0.460;0.467
Сич;0.430;0.470
Конкорд;0.415;0.475
МетаБанк;0.444;0.463
Банк Инвестиций и Сбережений;0.390;0.470
Траст-капитал;0.430;0.470
Банк Форвард (Forward Bank);0.380;0.480
Банк Восток;0.440;0.470
Международный Инвестиционный Банк;0.440;0.470
Земельный Капитал;0.445;0.465
ВиЭс Банк;0.445;0.468
Проминвестбанк;0.455;0.470
Первый Инвестиционный банк;0.430;0.465
Коминвестбанк;0.445;0.465
Банк Финансовый Партнёр;0.430;0.470
ВТБ Банк;0.447;0.478
Полтава-Банк;0.450;0.460
Marfin Bank;0.200;0.520
Банк Фамильный;0.400;0.470
Кредит Оптима Банк;0.440;0.490
Асвио банк;0.330;0.480
ПФБ;0.450;0.475
Диви Банк;0.430;0.470
Банк 3/4;0.440;0.470
Ощадбанк;0.412;0.470
Пиреус Банк;0.405;0.465
Мисто Банк;0.420;0.470
Регион-банк;0.430;0.470
Кристалбанк;0.432;0.472
Вернум Банк;0.430;0.470
Сбербанк;0.451;0.476
Коммерческий Индустриальный Банк;0.430;0.470
